experiment_id,experiment_name,model,accuracy,f1_macro,f1_bad,roc_auc,precision_bad,recall_bad,notes,num_params,train_time_sec
exp_01_mfcc_svm,SVM на MFCC,SVM (RBF),0.697841726618705,0.6680104129808422,0.5684931506849316,0.752167060677699,0.5286624203821656,0.6148148148148148,"n_mfcc=20, GridSearchCV {'clf__C': 1.0, 'clf__gamma': 'scale'}",,27.141248882981017
exp_mfcc_02_rf,Random Forest на MFCC,Random Forest,0.7386091127098321,0.6787524118482708,0.540084388185654,0.7342001576044129,0.6274509803921569,0.4740740740740741,"GridSearchCV {'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 400}",,1377.4124051880208
exp_03_vggish_ml,VGGish + SVM,VGGish (agg) + SVC (RBF),0.7218225419664268,0.6923840048840049,0.5972222222222222,0.7890202258996585,0.5620915032679739,0.6370370370370371,"VGGish mean+std per file (256 dim), GridSearchCV {'clf__C': 1.0, 'clf__gamma': 'scale'}",,94.53034989300068
exp_04_1d_cnn,1D CNN на waveform,WaveformCNN1d,0.7410071942446043,0.6886510701841713,0.5609756097560976,0.7644602048857367,0.6216216216216216,0.5111111111111111,"raw waveform 10s 16kHz, 4 blocks Conv1d 32-64-128-256",133554.0,1176.304042472009
exp_05_2d_cnn,2D CNN на mel-спектрограмме,2D CNN (mel),0.7074340527577938,0.6731806968855998,0.5673758865248227,0.7530864197530864,0.54421768707483,0.5925925925925926,"n_mels=80, n_frames=320, epochs=50, batch=32",440018.0,57.08188147502369
exp_06_lstm,BiLSTM по MFCC,BiLSTM (MFCC),0.7026378896882494,0.6563795853269537,0.5303030303030303,0.7170081428946676,0.5426356589147286,0.5185185185185185,"n_mfcc=20, max_frames=320, hidden=128, layers=2, epochs=50",549394.0,112.15973925299475
exp_07_bilstm_gru,BiLSTM-GRU на log-mel,BiLSTM-GRU (log-mel),0.7482014388489209,0.7084362701684057,0.6007604562737643,0.7494352508536904,0.6171875,0.5851851851851851,"n_mels=80, max_frames=320, lstm=128, gru=64, epochs=50",277010.0,49.581867769011296
exp_08_cwt_cnn,CWT scalogram + CNN,CWT 2D CNN,0.6402877697841727,0.5472902553413236,0.3421052631578947,0.5831231941161019,0.4193548387096774,0.2888888888888888,PyWavelets CWT morl,429778.0,115.95642952402704
exp_09_cnn_transformer,CNN+Transformer (AutoDEAP-style),CNN+Transformer (mel),0.4700239808153477,0.4694259411720679,0.4516129032258064,0.5337273443656422,0.3395522388059701,0.674074074074074,"n_mels=80, n_frames=320, d_model=128, 2 layers, epochs=50",949586.0,169.32868706801673
exp_10_dsscnet,DSSCNet (SE+Res) на mel,DSSCNet,0.7458033573141487,0.7160422448350293,0.624113475177305,0.7973995271867613,0.5986394557823129,0.6518518518518519,"n_mels=80, n_frames=320, base_c=64, 4 SE-Res blocks, epochs=50",304306.0,55.54008174300543
exp_11_wav2vec,wav2vec2 + head,Wav2Vec2 (freeze),0.7529976019184652,0.7173997433957298,0.6171003717472119,0.7907013396375099,0.6194029850746269,0.6148148148148148,"facebook/wav2vec2-base, encoder frozen, 10s, epochs=50",94372498.0,9565.818942505985
exp_12_fluentnet,FluentNet-style (waveform + mel),FluentNetClassifier,0.7050359712230215,0.6862647949353151,0.6095238095238096,0.784896243761492,0.5333333333333333,0.7111111111111111,"two-branch 1D CNN + 2D CNN, 10s, branch_dim=128",160626.0,16037.376356830006
exp_13_hubert,HuBERT + LSTM,HubertLSTMClassifier,0.7985611510791367,0.7450803446669771,0.6283185840707964,0.8232072498029945,0.7802197802197802,0.5259259259259259,"facebook/hubert-base-ls960, encoder frozen, BiLSTM 128, 10s",95291794.0,9297.916252714
exp_14_hubert_resnet_transformer,HuBERT+ResNet50+Transformer,HybridModuleTransformer,0.7577937649880095,0.6976373543537723,0.5627705627705628,0.8197268190175991,0.6770833333333334,0.4814814814814814,"Full hybrid: HuBERT-LSTM 768 + ResNet50 2048, 4-layer Transformer, 10s",,17916.805798015004
exp_15_cross_attn,CNN-BiLSTM cross-attention,CrossAttnCNNBiLSTM,0.6834532374100719,0.6697307156914512,0.6024096385542169,0.7673233517205149,0.5076142131979695,0.7407407407407407,"mel→CNN→BiLSTM→learnable Q cross-attn→FC, Nature Sci.Rep. 2025",718546.0,246.81038734002504
